Rank,Year,Movie,"Worldwide Box Office","Domestic Box Office","International Box Office". 
1,2009,Avatar,"$2,923,706,026","$785,221,649","$2,138,484,377"
2,2019,Avengers: Endgame,"$2,788,912,285","$858,373,000","$1,930,539,285"
3,2022,Avatar: The Way of Water,"$2,317,514,386","$684,075,767","$1,633,438,619"
4,1997,Titanic,"$2,223,048,786","$674,460,013","$1,548,588,773"
5,2015,Star Wars Ep. VII: The Force Awakens,"$2,064,615,817","$936,662,225","$1,127,953,592"
6,2018,Avengers: Infinity War,"$2,048,359,754","$678,815,482","$1,369,544,272"
7,2021,Spider-Man: No Way Home,"$1,907,836,254","$814,115,070","$1,093,721,184"
8,2015,Jurassic World,"$1,669,963,641","$652,306,625","$1,017,657,016"
9,2019,The Lion King,"$1,646,106,779","$543,638,043","$1,102,468,736"
10,2012,The Avengers,"$1,515,100,211","$623,357,910","$891,742,301"
